"1","Dragon rouge","Serie de films : Hannibal Lecter

Voila trois ans que Will Graham a arrete le docteur Hannibal Lecter. Il vit desormais paisiblement avec son epouse et leur fils en Floride. Profondement marque par sa rencontre avec Hannibal, Will a prefere demissionner du FBI. Il reçoit bientot la visite de son ancien directeur qui lui demande de l'aider a arreter un tueur en serie connu sous le nom de la petite souris qui a deja assassine deux familles durant des nuits de pleine lune.","2002","1","Brett Ratner"
"2","Point Break","Ohnny Utah, un jeune agent du FBI, est charge d'infiltrer un groupe de surfeurs, surnommes les ex-presidents, car ils sont soupçonnes de commettre de multiples cambriolages dans la region de Los Angeles. Il s'initie rapidement au surf et decouvre que les sportifs vivent en cercle ferme. Il parvient a se faire accepter et fait bientot la connaissance de Bodhi, le maitre a penser du groupe, qui ne cherche qu'une chose : la vague extreme.","1991","2","Kathryn Bigelow"
"3","Roi lion 1","Le fils du roi des animaux vient de naitre. Son oncle est jaloux car il aimerait lui aussi regner. Il invente une ruse qui aboutira sur la mort du roi. Le jeune fils, Simba, temoin de la mort de son pere, et s'en croyant responsable, va fuir sa horde.","1994","3"," Rob Minkoff, Roger Allers"
